"Date","Price","Open","High","Low","Change %"
"06/17/2025","97.50","97.97","97.97","97.50","-0.05%"
"06/16/2025","97.55","97.83","97.55","97.55","-0.29%"
"06/13/2025","97.83","97.83","97.83","97.83","0.12%"
"06/12/2025","97.71","97.73","97.71","97.71","-0.02%"
"06/11/2025","97.73","97.73","97.73","97.73","-0.12%"
"06/10/2025","97.85","97.85","97.85","97.85","0.40%"
"06/09/2025","97.46","97.27","97.46","97.46","0.02%"
"06/06/2025","97.44","97.27","97.44","97.44","-0.19%"
"06/05/2025","97.63","97.27","97.63","97.63","0.37%"
"06/04/2025","97.27","97.27","97.27","97.27","-0.34%"
"06/03/2025","97.60","96.94","97.60","97.60","0.06%"
"06/02/2025","97.54","96.94","97.54","97.54","-0.32%"
"05/30/2025","97.85","96.94","97.85","96.94","0.44%"
"05/29/2025","97.42","98.05","97.42","97.42","-0.05%"
"05/28/2025","97.47","98.05","97.47","97.47","-0.14%"
"05/27/2025","97.61","98.05","97.61","97.61","0.26%"
"05/26/2025","97.36","98.05","97.36","97.36","-0.70%"
"05/23/2025","98.05","98.05","98.05","98.05","0.57%"
"05/22/2025","97.49","97.92","97.49","97.49","-0.36%"
"05/21/2025","97.84","97.92","97.92","97.84","0.03%"
"05/20/2025","97.81","98.10","97.81","97.81","0.62%"
"05/19/2025","97.21","98.10","98.10","97.21","-1.03%"
"05/16/2025","98.22","98.22","98.22","98.22","0.32%"
"05/15/2025","97.91","97.91","97.91","97.91","0.60%"
"05/14/2025","97.33","97.70","97.33","97.33","-0.48%"
"05/12/2025","97.80","97.70","97.83","97.70","0.31%"
"05/06/2025","97.50","97.50","97.50","97.50","-0.71%"
"04/23/2025","98.20","98.20","98.20","98.20","1.16%"
"04/22/2025","97.07","97.07","97.07","97.07","0.24%"
"04/15/2025","96.84","96.84","96.84","96.84","-0.31%"
"04/11/2025","97.14","97.14","97.14","97.14","-0.73%"
"04/08/2025","97.85","97.85","97.85","97.85","1.04%"
"04/07/2025","96.84","96.84","96.84","96.84","-1.19%"
"04/04/2025","98.01","98.09","98.09","98.01","0.63%"
"04/03/2025","97.40","97.40","97.40","97.40","0.22%"
"03/28/2025","97.19","97.19","97.19","97.19","-0.05%"
"03/21/2025","97.24","97.24","97.24","97.24","0.04%"
"03/20/2025","97.20","97.20","97.20","97.20","0.34%"
"03/19/2025","96.87","97.20","96.87","96.87","-0.04%"
"03/18/2025","96.91","97.20","96.91","96.91","-0.01%"
"03/17/2025","96.92","97.20","96.92","96.92","-0.05%"
"03/14/2025","96.97","97.20","96.97","96.97","0.11%"
"03/13/2025","96.86","97.20","96.86","96.86","-0.07%"
"03/12/2025","96.93","97.20","96.93","96.93","-0.22%"
"03/11/2025","97.14","97.20","97.14","97.14","0.02%"
"03/10/2025","97.12","97.20","97.12","97.12","-0.05%"
"03/07/2025","97.17","97.20","97.17","97.17","-0.03%"
"03/06/2025","97.20","97.20","97.20","97.20","-0.31%"
"03/04/2025","97.50","97.50","97.50","97.50","0.81%"
"02/28/2025","96.72","96.72","96.72","96.72","-0.17%"
"02/26/2025","96.88","96.88","96.88","96.88","0.04%"
"02/25/2025","96.84","96.84","96.84","96.84","0.21%"
"02/24/2025","96.64","96.64","96.64","96.64","0.00%"
"02/21/2025","96.64","96.40","96.64","96.40","0.10%"
"02/18/2025","96.54","96.54","96.54","96.54","-0.10%"
"02/17/2025","96.64","96.64","96.64","96.64","0.36%"
"02/13/2025","96.29","96.29","96.29","96.29","-0.45%"
"02/11/2025","96.73","96.73","96.73","96.73","0.35%"
"02/04/2025","96.39","96.39","96.39","96.39","-0.05%"
"01/31/2025","96.44","96.44","96.44","96.44","0.19%"
"01/30/2025","96.26","96.26","96.26","96.26","-0.12%"
"01/29/2025","96.38","96.20","96.38","96.38","0.07%"
"01/28/2025","96.31","96.20","96.31","96.31","-0.06%"
"01/27/2025","96.37","96.20","96.37","96.37","-0.01%"
"01/25/2025","96.38","96.20","96.38","96.38","0.00%"
"01/24/2025","96.38","96.20","96.38","96.38","0.18%"
"01/23/2025","96.21","96.20","96.21","96.21","0.02%"
"01/22/2025","96.19","96.20","96.19","96.19","-0.01%"
"01/21/2025","96.20","96.20","96.20","96.20","-0.09%"
"01/20/2025","96.29","96.29","96.29","96.29","0.46%"
"01/14/2025","95.85","95.85","95.85","95.85","-0.26%"
"01/08/2025","96.10","96.10","96.10","96.10","-0.41%"
"01/06/2025","96.50","96.50","96.50","96.50","0.17%"
"01/03/2025","96.34","96.34","96.34","96.34","0.08%"
"12/30/2024","96.26","96.24","96.26","96.24","-0.03%"
"12/23/2024","96.29","96.29","96.29","96.29","0.15%"
"12/20/2024","96.15","96.14","96.15","96.14","-0.21%"
"12/17/2024","96.35","96.36","96.36","96.35","-0.10%"
"12/16/2024","96.45","96.45","96.45","96.45","-0.03%"
"12/13/2024","96.48","96.48","96.49","96.48","-0.11%"
"12/11/2024","96.59","96.59","96.59","96.59","-0.09%"
"12/09/2024","96.68","96.68","96.68","96.68","0.58%"
"12/06/2024","96.12","96.59","96.59","96.12","-0.60%"
"12/05/2024","96.70","96.70","96.70","96.70","0.22%"
"12/04/2024","96.49","96.49","96.49","96.49","0.35%"
"11/28/2024","96.15","96.15","96.15","96.15","-0.30%"
"11/27/2024","96.44","96.89","96.89","96.44","-0.11%"
"11/25/2024","96.55","96.55","96.55","96.55","0.60%"
"11/22/2024","95.97","96.01","96.21","95.97","-0.28%"
"11/20/2024","96.24","96.24","96.24","96.24","0.12%"
"11/18/2024","96.12","96.12","96.12","96.12","-0.02%"
"11/13/2024","96.14","96.14","96.14","96.14","0.02%"
"11/12/2024","96.12","96.39","96.12","96.12","-0.16%"
"11/11/2024","96.27","96.39","96.27","96.27","-0.15%"
"11/08/2024","96.41","96.39","96.41","96.41","0.06%"
"11/07/2024","96.35","96.39","96.35","96.35","0.20%"
"11/06/2024","96.16","96.39","96.16","96.16","-0.09%"
"11/05/2024","96.25","96.39","96.39","96.25","-0.08%"
"11/04/2024","96.33","96.46","96.33","96.33","0.12%"
"11/01/2024","96.21","96.46","96.21","96.21","-0.06%"
"10/31/2024","96.27","96.46","96.27","96.27","-0.08%"
"10/30/2024","96.35","96.46","96.35","96.35","0.02%"
"10/29/2024","96.33","96.46","96.33","96.33","-0.13%"
"10/28/2024","96.46","96.46","96.46","96.46","-0.23%"
"10/23/2024","96.68","96.68","96.68","96.68","-0.13%"
"10/22/2024","96.81","96.77","96.81","96.77","-0.23%"
"10/18/2024","97.03","97.03","97.03","97.03","-0.05%"
"10/11/2024","97.08","97.08","97.08","97.08","-0.59%"
"10/07/2024","97.66","97.66","97.66","97.66","0.51%"
"10/04/2024","97.16","97.94","97.16","97.16","-0.53%"
"10/03/2024","97.68","97.94","97.68","97.68","-0.11%"
"10/02/2024","97.79","97.94","97.79","97.79","-0.12%"
"10/01/2024","97.91","97.94","97.91","97.91","-0.03%"
